"Please select a district.","Silakan pilih kecamatan."
"Please select a city.","Silakan pilih kota."
"Country","Negara"
"Region","Provinsi"
"City","Kota/Kab."
"District","Kecamatan"
"Map Point","Titik Lokasi"
"Map Point:","Titik Lokasi:"
"Choose Map Point","Tandai Titik Lokasi"
"Confirm Location","PILIH LOKASI INI"
"Please make sure your pinned point in map match with your address.","Pastikan lokasi yang Anda tandai sesuai dengan alamat yang Anda tulis."
"Find address or location","Cari alamat atau lokasi"
"Manage directory region, city and district for Indonesia only","Pengaturan provinsi, kota dan kecamatan hanya untuk Indonesia"
"Indonesia only","Indonesia saja"
"Location Point","Titik Lokasi"
"Pin a Location Point","Tandai Titik Lokasi"
"Something went wrong while saving additional fields to order addresses","Terjadi masalah saat menyimpan field tambahan ke alamat pesanan"
"Origin District Id","ID Kecamatan Asal"
"Origin Location Point","Titik Lokasi Asal"
"Origin Contact Name","Nama Kontak Asal"
"Origin Telephone","Telepon Asal"
"Origin Address","Alamat Asal"
"No Origin data avalaible for this order.","Tidak ada data Origin untuk order ini."
"Something error when sending pickup request.","Terjadi kesalahan ketika mengirim pickup request."
"Something error when booking driver.","Terjadi kesalahan ketika booking driver."
"Booking and finding driver, booking id #%1","Memesan dan mencari pengemudi, id pesanan #%1"
"Booking driver sucessfully, please wait while finding driver.","Memesan pengemudi, mohon tunggu selama pencarian pengemudi."
"Pickup request sent sucessfully with reference number %1.","Permintaan pickup berhasil dengan nomor referensi %1."
"Pickup request sent sucessfully. Please make sure package ready.","Permintaan pickup berhasil. Pastikan paket sudah siap."
"Shipped by","Dikirim oleh"
"Location/ Status","Lokasi/ Status"
"New Pickup Request","Permintaan Penjemputan Baru"
"Unknown shipment id.","Id pengiriman tidak dikenal."
"Packages information not available.","Informasi paket tidak tersedia."
"New pickup request for shipment #%1","Permintaan penjemputan baru untuk kiriman #%1"
"Request Information","Informasi Permintaan"
"Pickup Address","Alamat Penjemputan"
"Pickup Date","Tanggal Penjemputan"
"Pickup Time","Waktu Penjemputan"
"Office Close Time","Waktu Tutup Kantor"
"<small>Eg. 10.00 WIB</small>","<small>Misal 10.00 WIB</small>"
"<small>Eg. 17.00 WIB</small>","<small>Misal 17.00 WIB</small>"
"Personal In Charge (PIC)","Penanggung Jawab (PIC)"
"PIC Email","Email PIC"
"Telephone","Telepon"
"Number of Package","Jumlah Paket"
"<small>In Qoly, Eg. 3</small>","Dalam Qoly, misal 3"
"Weight of Package","Berat Paket"
"<small>In Kilogram, Eg. 2</small>","<small>Dalam Kilogram, misal 2</small>"
"Dimension (Length)","Dimensi (Panjang)"
"<small>In Centimeters</small>","<small>Dalam Centimeters</small>"
"Dimension (Width)","Dimensi (Lebar)"
"Dimension (Height)","Dimensi (Tinggi)"
"Package Type","Tipe Paket"
"<small>Eg. Package, Document, etc.</small>","<small>Misal Paket, Dokumen, dll.</small>"
"Pickup Vehicle","Jenis Kendaraan Penjemput"
"Destination City","Kota Tujuan"
"Shipping Insurance","Asuransi Pengiriman"
"No","Tidak"
"Yes","Iya"
"Packaging with Wood","Pengemasan dengan kayu"
"Additional Information","Informasi Tambahan"
"The rate has been deleted.","Tarif telah dihapus"
"Rate to delete was not found.","Tarif tidak ditemukan."
"This rate no longer exists.","Tarif ini sudah tidak ada."
"Rate Manager","Pengaturan Tarif"
"New Rate","Tarif Baru"
"Add New Rate","Tambah Tarif Baru"
"Import Rate","Import Tarif"
"Edit Rate","Ubah Tarif"
"Edit rate: (%1)","Ubah tarif: (%1)"
"Indonesia Shipping","Jasa Pengiriman Indonesia"
"Shipping Rates","Tarif Kiriman"
"List","Daftar"
"Manage Shipping Rates","Pengaturan Tarif Kiriman"
"Please correct the data sent.","Mohon perbaiki data yang dikirim."
"Rate with ID %1 not found.","Tarif dengan ID %1 tidak ditemukan."
"Total %1 record(s) of %2 have been deleted.","Total %1 data dari %2 telah dihapus."
"%1 cached rates have been deleted.","%1 cache tarif telah dihapus."
"Something went wrong while saving the rate.","Terjadi kesalahan ketika menyimpan tarif."
"Something went wrong while importing shipping rates.","Terjadi kesalahan ketika meng-import tarif kiriman."
"Are you sure want to delete this rate?","Apakah Anda yakin akan menghapus tarif ini?"
"Total %1 record(s) of %2 have been imported.","Total %1 baris dari %2 dudah di-import."
